He likes winter.	彼は冬が好きです。
She likes summer.	彼女は夏が好きです。
My mother likes spring.	私の母は春が好きです。
My parents like autumn.	私の両親たちは秋が好きです。
He does not like winter.	彼は冬が好きではありません。
She does not like summer.	彼女は夏が好きではありません。
My mother does not like spring.	私の母は春が好きではありません。
My parents do not like autumn.	私の両親たちは秋が好きではありません。
He lives in Tokyo.	彼は東京に住んでいます。
She lives in Hokkaido.	彼女は北海道に住んでいます。
My father lives in Miyagi.	私の父は宮城に住んでいます。
He does not live in Tokyo.	彼は東京に住んでいません。
She does not live in Hokkaido.	彼女は北海道に住んでいません。
My father does not live in Miyagi.	私の父は宮城に住んでいません。
He studies math after school.	彼は放課後に算数を勉強します。
She studies science after school.	彼女は放課後に理科を勉強します。
He and she study math after school.	彼と彼女は放課後に算数を勉強します。
He does not study math after school.	彼は放課後に算数を勉強しません。
She does not study science after school.	彼女は放課後に理科を勉強しません。
He does not study math after school.	彼と彼女は放課後に算数を勉強しません。
My brother has a green car.	私の兄は緑の車を持っています。
My sister has a red car.	私の姉は赤い車を持っています。
Ms. Kate has a blue car.	ケイトさんは青い車を持っています。
My brother does not have a green car.	私の兄は緑の車を持っていません。
My sister does not have a red car.	私の姉は赤い車を持っていません。
Ms. Kate does not have a blue car.	ケイトさんは青い車を持っていません。
He teaches Japanese.	彼は日本語を教えます。
She teaches Chinese.	彼女は中国語を教えます。
Ms. Nancy teaches English.	ナンシーさんは英語を教えます。
He does not teach Japanese.	彼は日本語を教えません。
She does not teach Chinese.	彼女は中国語を教えません。
Ms. Nancy does not teach English.	ナンシーさんは英語を教えません。
He washes the dishes.	彼はお皿を洗います。
She washes the dishes.	彼女はお皿を洗います。
Mr. John washes the dishes.	ジョンさんはお皿を洗います。
Does he wash the dishes?	彼はお皿を洗いますか？
Does she wash the dishes?	彼女はお皿を洗いますか？
Does Mr. John wash the dishes?	ジョンさんはお皿を洗いますか？
He watches YouTube every morning.	彼は毎朝YouTubeを見ます。
She watches YouTube every night.	彼女は毎夜YouTubeを見ます。
He and she watch YouTube every day.	彼と彼女は毎日YouTubeを見ます。
Does he watches YouTube every morning?	彼は毎朝YouTubeを見ますか？
Does she watches YouTube every night?	彼女は毎夜YouTubeを見ますか？
Do he and she watch YouTube every day?	彼と彼女は毎日YouTubeを見ますか？
He speaks English.	彼は英語を話します。
She speaks Chinese.	彼女は中国語を話します。
My dog speaks Japanese.	私の犬は日本語を話します。
Does he speak English? Yes, he does.	彼は英語を話しますか？ はい、話します。
Does she speak Chinese? No, she doesn't.	彼女は中国語を話しますか？ いいえ、話しません。
Does my dog speak Japanese? Yes, it does.	私の犬は日本語を話しますか？ はい、話します。
Bob plays soccer.	ボブはサッカーをします。
Mika plays basketball.	ミカはバスケットボールをします。
Bob and Mika play tennis.	ボブとミカはテニスをします。
Does Bob play soccer? Yes, he does.	ボブはサッカーをしますか？ はい、します。
Does Mika play basketball? No, he does not.	ミカはバスケットボールをしますか？ いいえ、しません。
Do Bob and Mika play tennis? Yes, they do.	ボブとミカはテニスをしますか？ はい、します。
He goes shopping.	彼は買い物に行きます。
She goes shopping.	彼女は買い物に行きます。
Tom and Mike go shopping.	トムとマイクは買い物に行きます。
Does he go shopping? Yes, he does.	彼は買い物に行きますか？ いいえ、行きません。
Does she go shopping? No, she does not.	彼女は買い物に行きますか？ はい、行きます。
Do Tom and Mike go shopping? Yes, he does.	トムとマイクは買い物に行きますか？ いいえ、行きません。
