Whose book is this?	これはだれの本ですか？
Whose pen is that?	あれはだれのペンですか？
Whose camera is that? It is mine.	あれはだれのペンですか？ それは私のものです。
Whose house is this? It is yours.	これはだれのペンですか？ それはあなたのものです。
Whose jacket is this? It is his.	あれはだれのジャケットですか？ それは彼のものです。
Whose bike is this? It is his.	あれはだれのジャケットですか？ それは彼のものです。
Whose ball is this? It is theirs.	これはだれのボールですか？ それは彼らのものです。
Whose erasers are those?	あれらはだれの消しゴムですか？
Whose flowers are these?	これらはだれの花ですか？
Whose cats are those? They are ours.	あれらはだれのネコですか？ それは私たちのネコです。
Whose cars are these? They are yours.	これらはだれの車ですか？ それはあなたたちのものです。
Whose dog does she walk every morning?	彼女は毎朝だれの犬を散歩しますか？
Whose pen does it write smoothly?	だれのペンがスムーズに書けますか？
Whose laptop does he use for work?	彼は仕事でだれのラップトップを使っていますか？
Whose laptop does she use for game? It's her mother's.	彼女はだれのラップトップをゲームで使っていますか？ 母親のものです。
Whose car does he drive? He drives mine.	彼はだれの車を運転しますか？ 私のものを運転します。
Whose bags do you have? I have theirs.	あなたは誰のバッグを持っていますか？ 彼女らのものを持っています。
