You are Hanako.	あなたは花子です。
You are from Kanagawa.	あなたは神奈川から来ました。
You are a pianist.	あなたはピアニストです。
You're John.	あなたはジョンです。
You're from Saitama.	あなたは埼玉から来ました。
You're a programmer.	あなたはプログラマーです。
You are not Ken.	あなたはケンではありません。
You are not from Osaka.	あなたは大阪から来ていません。
Yor are not a pilot.	あなたはパイロットではありません。
You're not Risa.	あなたはリサではありません。
You're not from Chiba.	あなたは千葉から来ていません。
You're not a doctor.	あなたは医者ではありません。
You aren't Kumi.	あなたはクミではありません。
You aren't from Nagoya.	あなたは名古屋から来ていません。
You aren't an artist.	あなたはアーティストではありません。
