You can speak English well.	あなたは英語をうまく話せます。
She can play the piano.	彼女はピアノをひけます。
He can cook hamburger.	彼はハンバーガーを作れます。
You can run fast.	あなたは早く走れます。
Dogs can not play tennis.	犬はテニスができません。
I can not eat lemons.	わたしはレモンを食べられません。
We can't use this house.	わたしたちはこの家を使えません。
Cats can't sing a song.	ネコは歌を歌えません。
Can I play baseball here? Yes, you can.	わたしたちはここで野球ができますか？ はい、できます。
Can he speak English? No, he can not.	彼は英語を話せますか？ いいえ、できません。
Can you take a picture? No, I can't.	あなたは写真が取れますか？ いいえ、できません。
Can I play baseball here?	わたしたちはここで野球ができますか？
Can he speak English?	彼は英語を話せますか？
Can you take a picture?	あなたは写真が取れますか？
What can you cook? I can cook rice ball.	あなたはどんな料理ができますか？ わたしはおにぎりを作れます。
Where can we play soccer? In the park.	わたしたちはどこでサッカーができますか？ 公園でできます。
When can she come ? 5 o'clock.	彼女はいつ来ることができますか？ 5時です。
Who can run fast? Ken can.	だれが早く走れますか？
Why can birds fly? Because birds have wings.	鳥はなぜ飛べるのですか？ 鳥にはつばさがあるからです。
How many eggs can he eat? Forty.	彼はタマゴをいくつ食べられますか？ 40こです。
