I like math.	わたしは算数が好きです。
I play table tennis.	わたしは卓球が好きです。
You study Japanese.	あなたは日本語を勉強します。
You need a help.	あなたは助けが必要です。
I have a dog.	わたしは犬を飼っています。
I do not eat chiken.	わたしはニワトリを食べません。
I don't play the guitar.	わたしはギターをひきません。
You do not have a computer.	あなたはコンピュータを持っていません。
You don't have a cat.	あなたはネコを飼っていません。
Do you have a kimono?	あなたは着物を持っていますか？
Do you know my father?	あなたは私を知っていますか？
Do you want a banana? Yes, I do.	あなたはバナナが好きですか？ はい、そうです。
Do you speak English? No, I do not.	あなたは英語を話しますか？ いいえ、違います。
Do you have an eraser? No, I don't.	あなたは消しゴムを持っていますか？ いいえ、違います。
What do you want?	あなたは何がほしいですか？
What do you think?	あなたは何を考えていますか？
What do you eat every day?	あなたは毎日何を食べていますか？
What do you do after lunch?	あなたは昼食後に何をしていますか？
