She is a small girl.	彼女は小さな女の子です。
This is a new pencil.	これは小さな鉛筆です。
This pencils is new.	この鉛筆は新しいです。
That is a red cap.	あれは赤いぼうしです。
That cap is red.	あの赤いぼうしは赤いです。
It is a blue flower.	それは青い花です。
You are kind.	あなたはやさしい。
I am busy.	わたしはいそがしい。
Is he young?	彼はやさしいですか？
Is this beautiful?	これは美しいですか？
Is it interesting?	それは面白いですか？
Are you angry? No, I am not.	あなたたちはおこっていますか？ いいえ、違います。
Am I beautiful? No, you are not.	わたしは美しいですか？ いいえ、違います。
Are you sad? No, I'm not.	あなたは悲しいですか？ いいえ、違います。
Am I cute? No, you're not.	わたしはかわいいですか？ いいえ、違います。
Are you happy? Yes, I am.	あなたは幸せですか？ はい、そうです。
Am I cool? Yes, you are.	わたしはかっこいいですか？ はい、そうです。
