I went to the library last week.	わたしは先週図書館へ行きました。
He made cookies for her.	彼は彼女のためにクッキーを作りました。
They took a bath.	彼らは風呂に入りました。
You saw the star last night.	あなたは昨夜星を見ました。
We bought the erasers.	わたしたちはその消しゴムを買いました。
I taught math in Japanese.	わたしは算数を日本語で教えました。
He knew the fact.	彼は真実を知っていました。
They met Tomoko yesterday.	彼らは昨日トモコと会いました。
You wrote a letter.	あなたは手紙を書きました。
I did not go to the library last week.	わたしは先週図書館へ行きませんでした。
He did not make cookies for her.	彼は彼女のためにクッキーを作りませんでした。
They didn't take a bath.	彼らは風呂に入りませんでした。
You didn't see the star last night.	あなたは昨夜星を見ませんでした。
Did he know the fact? Yes, he did.	彼は真実を知っていましたか？ はい、知っていました。
Did they meet Momo? No, they did not.	彼らはモモと会いましたか？ いいえ、会いませんでした。
Did you write a letter? No, I didn't.	あなたは手紙を書きましたか？ いいえ、書きませんでした。
Did he know the fact?	彼は真実を知っていましたか？
Did they meet Momo?	彼らはモモに会いましたか？
Did you write a letter?	あなたは手紙を書きましたか？
Who ran in the park? Sanae did.	だれが公園で走りましたか？サナエが走りました。
Where did you go? I went to the hospital.	あなたはどこへ行きましたか？ 病院へ行きました。
What did you take? I took this sandwich.	あなたは何を取りましたか？ サンドイッチを取りました。
When did you give that gift? Sunday morning.	あなたはいつあのプレゼントを渡しましたか？ 日曜の朝です。
Who ran in the park?	だれが公園で走りましたか？
Where did you go?	あなたはどこへ行きましたか？
What did you take?	あなたは何を取りましたか？
When did you give this gift?	あなたはいつあのプレゼントを渡しましたか？
