Wash your hands.	手を洗いなさい。
Wash your foots, please.	足を洗ってください。
Please wash your body.	体を洗ってください。
Be quiet in this room.	この部屋では静かにしなさい。
Be quiet in that room, please	あの部屋では静かにしてください。
Please be quiet in the library.	図書館では静かにしてください。
Do not play baseball here. 	ここで野球をしないで。
Don't play tennis here, please. 	ここでテニスをしないでください。
Please do not sing a song here.	ここで歌をうたわないでください。
Go to school at eight o'clock.	8時に学校に行きなさい。
Do not swim in the hot springs.	温泉で泳がないでください。
Brush your teeth before the game.	ゲームの前に歯をみがきなさい。
Please take a bath after dinner.	夕食の後は風呂に入ってください。
Write your notes in pencil, please.	ノートはえんぴつで書いてください。
Open the door, please.	ドアを開けてください。
Do not be a bad boy.	悪い子にならないで。
Don't be afraid of this dog.	この犬をこわがらないで。
