He cleaned a room.	彼は部屋を掃除しました。
I visited Kyoto yesterday.	わたしは昨日京都へ訪れました。
They helped an old man.	彼らは老人を助けました。
She lived in Tokyo.	彼女は東京に住んでいました。
We studied math yesterday.	わたしたちは昨日算数を勉強しました。
You liked cookies 10 years ago.	あなたは10年前クッキーが好きでした。
I dropped the money.	わたしはお金を落としました。
He tried hard last night.	彼は昨夜、一生けん命に挑戦しました。
My mother used a camera.	私の母はカメラを使いました。
Taro and Hanako looked the window.	太郎と花子は窓を見ました。
He did not clean a room.	彼は部屋を掃除しませんでした。
I did not visit Kyoto yesterday.	わたしは昨日京都を訪れませんでした。
They didn't help an old man.	彼らは老人を助けませんでした。
She didn't live in Tokyo.	彼女は東京に住んでいませんでした。
Did you study math yesterday?	あなたは昨日算数を勉強しましたか？
Did you like cookies?	あなたはクッキーが好きでしたか？
Did she open the door?	彼女はドアを開けましたか？
Did you drop the money? Yes, I did.	あなたはお金を落としましたか？ はい、落としました。
Did he try hard? No, he did not.	彼は一生けん命挑戦しましたか？ いいえ、挑戦していません。
Did you look this picture? No, we didn't.	あなたはこの写真を見ましたか？ いいえ、見ていません。
Who played the guitar? Jane did.	誰がギターをひきましたか？ ジェーンがひきました。
Where did you live?  I lived in Chiba.	あなたはどこに住んでいましたか？ 千葉に住んでいました。
What did you cook last night?  I cooked oden.	あなたは昨夜何を料理しましたか？ おでんを料理しました。
When did you start? 10 o'clock.	あなたはいつ始めましたか？ 10時です。
Who played the guitar?	だれがギターをひきましたか？
Where did you live?	あなたはどこに住んでいましたか？
What did he do on Sunday morning?	彼は日曜の朝に何をしていましたか？
When did you stay home?	あなたはいつ家にいましたか？
